"table","code","name"
call_types_sound_sources,OD_BURST_PULSE:SFPW,OD_BURST_PULSE:SFPW
call_types_sound_sources,OD_BURST_PULSE:SHBW,OD_BURST_PULSE:SHBW
call_types_sound_sources,OD_BURST_PULSE:SNDO,OD_BURST_PULSE:SNDO
call_types_sound_sources,OD_BURST_PULSE:SOBW,OD_BURST_PULSE:SOBW
call_types_sound_sources,OD_BURST_PULSE:SPDOOF,OD_BURST_PULSE:SPDOOF
call_types_sound_sources,OD_BURST_PULSE:SPDOPA,OD_BURST_PULSE:SPDOPA
call_types_sound_sources,OD_BURST_PULSE:SPPO,OD_BURST_PULSE:SPPO
call_types_sound_sources,OD_BURST_PULSE:SRWD,OD_BURST_PULSE:SRWD
call_types_sound_sources,OD_BURST_PULSE:SSDO,OD_BURST_PULSE:SSDO
call_types_sound_sources,OD_BURST_PULSE:STBWH,OD_BURST_PULSE:STBWH
call_types_sound_sources,OD_BURST_PULSE:STDO,OD_BURST_PULSE:STDO
call_types_sound_sources,OD_BURST_PULSE:STTWH,OD_BURST_PULSE:STTWH
call_types_sound_sources,OD_BURST_PULSE:STWH,OD_BURST_PULSE:STWH
call_types_sound_sources,OD_BURST_PULSE:TMSD,OD_BURST_PULSE:TMSD
call_types_sound_sources,OD_BURST_PULSE:TRBW,OD_BURST_PULSE:TRBW
call_types_sound_sources,OD_BURST_PULSE:TUDO,OD_BURST_PULSE:TUDO
call_types_sound_sources,OD_BURST_PULSE:UBWA,OD_BURST_PULSE:UBWA
call_types_sound_sources,OD_BURST_PULSE:UECASD,OD_BURST_PULSE:UECASD
call_types_sound_sources,OD_BURST_PULSE:UNBD,OD_BURST_PULSE:UNBD
call_types_sound_sources,OD_BURST_PULSE:UNBF,OD_BURST_PULSE:UNBF
call_types_sound_sources,OD_BURST_PULSE:UNBW,OD_BURST_PULSE:UNBW
call_types_sound_sources,OD_BURST_PULSE:UNCW,OD_BURST_PULSE:UNCW
call_types_sound_sources,OD_BURST_PULSE:UNDO,OD_BURST_PULSE:UNDO
call_types_sound_sources,OD_BURST_PULSE:UNDS,OD_BURST_PULSE:UNDS
call_types_sound_sources,OD_BURST_PULSE:UNKO,OD_BURST_PULSE:UNKO
call_types_sound_sources,OD_BURST_PULSE:UNLAG,OD_BURST_PULSE:UNLAG
call_types_sound_sources,OD_BURST_PULSE:UNLD,OD_BURST_PULSE:UNLD
call_types_sound_sources,OD_BURST_PULSE:UNMD,OD_BURST_PULSE:UNMD
call_types_sound_sources,OD_BURST_PULSE:UNME,OD_BURST_PULSE:UNME
call_types_sound_sources,OD_BURST_PULSE:UNPO,OD_BURST_PULSE:UNPO
call_types_sound_sources,OD_BURST_PULSE:UNRB,OD_BURST_PULSE:UNRB
call_types_sound_sources,OD_BURST_PULSE:UNSB,OD_BURST_PULSE:UNSB
call_types_sound_sources,OD_BURST_PULSE:UNSBW,OD_BURST_PULSE:UNSBW
call_types_sound_sources,OD_BURST_PULSE:UNSC,OD_BURST_PULSE:UNSC
call_types_sound_sources,OD_BURST_PULSE:UNSPDO,OD_BURST_PULSE:UNSPDO
call_types_sound_sources,OD_BURST_PULSE:VAQU,OD_BURST_PULSE:VAQU
call_types_sound_sources,OD_BURST_PULSE:WBDO,OD_BURST_PULSE:WBDO
call_types_sound_sources,OD_BURST_PULSE:WBSDO,OD_BURST_PULSE:WBSDO
call_types_sound_sources,OD_BURST_PULSE:WSDO,OD_BURST_PULSE:WSDO
call_types_sound_sources,OD_BUZZ:AHDO,OD_BUZZ:AHDO
call_types_sound_sources,OD_BUZZ:ANBW,OD_BUZZ:ANBW
call_types_sound_sources,OD_BUZZ:ARBW,OD_BUZZ:ARBW
call_types_sound_sources,OD_BUZZ:ARDO,OD_BUZZ:ARDO
call_types_sound_sources,OD_BUZZ:ASDO,OD_BUZZ:ASDO
call_types_sound_sources,OD_BUZZ:AUSDO,OD_BUZZ:AUSDO
call_types_sound_sources,OD_BUZZ:BBWH,OD_BUZZ:BBWH
call_types_sound_sources,OD_BUZZ:BELU,OD_BUZZ:BELU
call_types_sound_sources,OD_BUZZ:BLBW,OD_BUZZ:BLBW
call_types_sound_sources,OD_BUZZ:BLDO,OD_BUZZ:BLDO
call_types_sound_sources,OD_BUZZ:BODO,OD_BUZZ:BODO
call_types_sound_sources,OD_BUZZ:BODOCOCA,OD_BUZZ:BODOCOCA
call_types_sound_sources,OD_BUZZ:BODOOFCA,OD_BUZZ:BODOOFCA
call_types_sound_sources,OD_BUZZ:BOGR,OD_BUZZ:BOGR
call_types_sound_sources,OD_BUZZ:BOSP,OD_BUZZ:BOSP
call_types_sound_sources,OD_BUZZ:BRDO,OD_BUZZ:BRDO
call_types_sound_sources,OD_BUZZ:BUPO,OD_BUZZ:BUPO
call_types_sound_sources,OD_BUZZ:BW29,OD_BUZZ:BW29
call_types_sound_sources,OD_BUZZ:BW39V,OD_BUZZ:BW39V
call_types_sound_sources,OD_BUZZ:BW41,OD_BUZZ:BW41
call_types_sound_sources,OD_BUZZ:BW43,OD_BUZZ:BW43
call_types_sound_sources,OD_BUZZ:BW53,OD_BUZZ:BW53
call_types_sound_sources,OD_BUZZ:BW58,OD_BUZZ:BW58
call_types_sound_sources,OD_BUZZ:BW70,OD_BUZZ:BW70
call_types_sound_sources,OD_BUZZ:BWB,OD_BUZZ:BWB
call_types_sound_sources,OD_BUZZ:BWC,OD_BUZZ:BWC
call_types_sound_sources,OD_BUZZ:BWG,OD_BUZZ:BWG
call_types_sound_sources,OD_BUZZ:CASP,OD_BUZZ:CASP
call_types_sound_sources,OD_BUZZ:CLDO,OD_BUZZ:CLDO
call_types_sound_sources,OD_BUZZ:CODO,OD_BUZZ:CODO
call_types_sound_sources,OD_BUZZ:CUBW,OD_BUZZ:CUBW
call_types_sound_sources,OD_BUZZ:DAPO,OD_BUZZ:DAPO
call_types_sound_sources,OD_BUZZ:DEBW,OD_BUZZ:DEBW
call_types_sound_sources,OD_BUZZ:DESP,OD_BUZZ:DESP
call_types_sound_sources,OD_BUZZ:DSDO,OD_BUZZ:DSDO
call_types_sound_sources,OD_BUZZ:DSWH,OD_BUZZ:DSWH
call_types_sound_sources,OD_BUZZ:DUDO,OD_BUZZ:DUDO
call_types_sound_sources,OD_BUZZ:ESDO,OD_BUZZ:ESDO
call_types_sound_sources,OD_BUZZ:FIPO,OD_BUZZ:FIPO
call_types_sound_sources,OD_BUZZ:FIPOEA,OD_BUZZ:FIPOEA
call_types_sound_sources,OD_BUZZ:FIPOIP,OD_BUZZ:FIPOIP
call_types_sound_sources,OD_BUZZ:FIPOYA,OD_BUZZ:FIPOYA
call_types_sound_sources,OD_BUZZ:FKWH,OD_BUZZ:FKWH
call_types_sound_sources,OD_BUZZ:FRAN,OD_BUZZ:FRAN
call_types_sound_sources,OD_BUZZ:FRDO,OD_BUZZ:FRDO
call_types_sound_sources,OD_BUZZ:GBWH,OD_BUZZ:GBWH
call_types_sound_sources,OD_BUZZ:GEBW,OD_BUZZ:GEBW
call_types_sound_sources,OD_BUZZ:GOBW,OD_BUZZ:GOBW
call_types_sound_sources,OD_BUZZ:GRAM,OD_BUZZ:GRAM
call_types_sound_sources,OD_BUZZ:GRDO,OD_BUZZ:GRDO
call_types_sound_sources,OD_BUZZ:GSDO,OD_BUZZ:GSDO
call_types_sound_sources,OD_BUZZ:GTBW,OD_BUZZ:GTBW
call_types_sound_sources,OD_BUZZ:GUDO,OD_BUZZ:GUDO
call_types_sound_sources,OD_BUZZ:HAPO,OD_BUZZ:HAPO
call_types_sound_sources,OD_BUZZ:HEADO,OD_BUZZ:HEADO
call_types_sound_sources,OD_BUZZ:HEBW,OD_BUZZ:HEBW
call_types_sound_sources,OD_BUZZ:HECDO,OD_BUZZ:HECDO
call_types_sound_sources,OD_BUZZ:HODO,OD_BUZZ:HODO
call_types_sound_sources,OD_BUZZ:HUBW,OD_BUZZ:HUBW
call_types_sound_sources,OD_BUZZ:INRDO,OD_BUZZ:INRDO
call_types_sound_sources,OD_BUZZ:IOBD,OD_BUZZ:IOBD
call_types_sound_sources,OD_BUZZ:IPHD,OD_BUZZ:IPHD
call_types_sound_sources,OD_BUZZ:IRRDO,OD_BUZZ:IRRDO
call_types_sound_sources,OD_BUZZ:KIWH,OD_BUZZ:KIWH
call_types_sound_sources,OD_BUZZ:KIWHAANT,OD_BUZZ:KIWHAANT
call_types_sound_sources,OD_BUZZ:KIWHBANT,OD_BUZZ:KIWHBANT
call_types_sound_sources,OD_BUZZ:KIWHCANT,OD_BUZZ:KIWHCANT
call_types_sound_sources,OD_BUZZ:KIWHOF,OD_BUZZ:KIWHOF
call_types_sound_sources,OD_BUZZ:KIWHRE,OD_BUZZ:KIWHRE
call_types_sound_sources,OD_BUZZ:KIWHTR,OD_BUZZ:KIWHTR
call_types_sound_sources,OD_BUZZ:LBCD,OD_BUZZ:LBCD
call_types_sound_sources,OD_BUZZ:LBWH,OD_BUZZ:LBWH
call_types_sound_sources,OD_BUZZ:LFPW,OD_BUZZ:LFPW
call_types_sound_sources,OD_BUZZ:MEPK,OD_BUZZ:MEPK
call_types_sound_sources,OD_BUZZ:MEWH,OD_BUZZ:MEWH
call_types_sound_sources,OD_BUZZ:MMME,OD_BUZZ:MMME
call_types_sound_sources,OD_BUZZ:NAWH,OD_BUZZ:NAWH
call_types_sound_sources,OD_BUZZ:NBWH,OD_BUZZ:NBWH
call_types_sound_sources,OD_BUZZ:NRWD,OD_BUZZ:NRWD
call_types_sound_sources,OD_BUZZ:OBDO,OD_BUZZ:OBDO
call_types_sound_sources,OD_BUZZ:PEBW,OD_BUZZ:PEBW
call_types_sound_sources,OD_BUZZ:PEDO,OD_BUZZ:PEDO
call_types_sound_sources,OD_BUZZ:PIWH,OD_BUZZ:PIWH
call_types_sound_sources,OD_BUZZ:PSDO,OD_BUZZ:PSDO
call_types_sound_sources,OD_BUZZ:PSWH,OD_BUZZ:PSWH
call_types_sound_sources,OD_BUZZ:PWDO,OD_BUZZ:PWDO
call_types_sound_sources,OD_BUZZ:PYBW,OD_BUZZ:PYBW
call_types_sound_sources,OD_BUZZ:PYKW,OD_BUZZ:PYKW
call_types_sound_sources,OD_BUZZ:RTDO,OD_BUZZ:RTDO
call_types_sound_sources,OD_BUZZ:SADO,OD_BUZZ:SADO
call_types_sound_sources,OD_BUZZ:SBWH,OD_BUZZ:SBWH
call_types_sound_sources,OD_BUZZ:SFPW,OD_BUZZ:SFPW
call_types_sound_sources,OD_BUZZ:SHBW,OD_BUZZ:SHBW
call_types_sound_sources,OD_BUZZ:SNDO,OD_BUZZ:SNDO
call_types_sound_sources,OD_BUZZ:SOBW,OD_BUZZ:SOBW
call_types_sound_sources,OD_BUZZ:SPDOOF,OD_BUZZ:SPDOOF
call_types_sound_sources,OD_BUZZ:SPDOPA,OD_BUZZ:SPDOPA
call_types_sound_sources,OD_BUZZ:SPPO,OD_BUZZ:SPPO
call_types_sound_sources,OD_BUZZ:SRWD,OD_BUZZ:SRWD
call_types_sound_sources,OD_BUZZ:SSDO,OD_BUZZ:SSDO
call_types_sound_sources,OD_BUZZ:STBWH,OD_BUZZ:STBWH
call_types_sound_sources,OD_BUZZ:STDO,OD_BUZZ:STDO
call_types_sound_sources,OD_BUZZ:STTWH,OD_BUZZ:STTWH
